Diretoria Regional,Código IBGE,Município,Número de alunos extremamente pobres potenciais beneficiários,Número de alunos extremamente pobres que receberam o benefício,Percentual de alunos extremamente pobres que receberam o benefício,Número de alunos pobres potenciais beneficiários,Número de alunos pobres que receberam o benefício,Percentual de alunos pobres que receberam o benefício,Total de dinheiro repassado aos beneficiários
Metropolitana,3106408,Belo Vale,77,65,0.8441558441558441,84,7,0.08333333333333333,16300
Araçuaí,3106507,Berilo,648,630,0.9722222222222222,124,59,0.47580645161290325,187100
Teófilo Otoni,3106606,Bertópolis,497,487,0.9798792756539235,13,9,0.6923076923076923,120900
Salinas,3106655,Berizal,446,432,0.968609865470852,24,14,0.5833333333333334,122900
Metropolitana,3106705,Betim,6141,5948,0.9685718938283667,1082,290,0.2680221811460259,1617550
Juiz de Fora,3106804,Bias Fortes,174,164,0.9425287356321839,12,5,0.4166666666666667,42700
Juiz de Fora,3106903,Bicas,156,146,0.9358974358974359,33,10,0.30303030303030304,37900
Divinópolis,3107000,Biquinhas,23,17,0.7391304347826086,7,0,0,4500
Varginha,3107109,Boa Esperança,286,271,0.9475524475524476,518,245,0.47297297297297297,94000
Juiz de Fora,3107208,Bocaina de Minas,30,30,1,4,0,0,7700
Montes Claros,3107307,Bocaiúva,3634,3501,0.9634012107870116,261,136,0.5210727969348659,1010350
Divinópolis,3107406,Bom Despacho,530,481,0.9075471698113208,338,72,0.21301775147928995,134100
Juiz de Fora,3107505,Bom Jardim de Minas,99,93,0.9393939393939394,34,5,0.14705882352941177,25200
Passos,3107604,Bom Jesus da Penha,102,101,0.9901960784313726,2,0,0,27750
Metropolitana,3107703,Bom Jesus do Amparo,150,114,0.76,54,29,0.5370370370370371,31400
Timóteo,3107802,Bom Jesus do Galho,1044,943,0.9032567049808429,30,14,0.4666666666666667,273950
Poços de Caldas,3107901,Bom Repouso,108,94,0.8703703703703703,173,6,0.03468208092485549,28700
São João Del Rei,3108008,Bom Sucesso,47,39,0.8297872340425532,270,14,0.05185185185185185,11500
Metropolitana,3108107,Bonfim,229,228,0.9956331877729258,17,0,0,57900
Paracatu,3108206,Bonfinópolis de Minas,56,42,0.75,49,8,0.16326530612244897,12000
Montes Claros,3108255,Bonito de Minas,791,663,0.8381795195954488,90,12,0.13333333333333333,195300
Poços de Caldas,3108305,Borda da Mata,106,96,0.9056603773584906,83,31,0.37349397590361444,28700
Poços de Caldas,3108404,Botelhos,127,110,0.8661417322834646,166,15,0.09036144578313253,29500
Montes Claros,3108503,Botumirim,578,578,1,56,23,0.4107142857142857,163700
Paracatu,3108552,Brasilândia de Minas,610,555,0.9098360655737705,78,22,0.28205128205128205,150450
Montes Claros,3108602,Brasília de Minas,2103,1906,0.9063242986210176,343,134,0.39067055393586003,564350
São João Del Rei,3108701,Brás Pires,218,216,0.9908256880733946,11,5,0.45454545454545453,54600
Timóteo,3108800,Braúnas,196,186,0.9489795918367347,30,7,0.23333333333333334,51000
Poços de Caldas,3108909,Brazópolis,80,59,0.7375,122,11,0.09016393442622951,15300
Metropolitana,3109006,Brumadinho,70,56,0.8,15,0,0,13400
Poços de Caldas,3109105,Bueno Brandão,69,65,0.9420289855072463,56,14,0.25,20200
Curvelo,3109204,Buenópolis,322,304,0.9440993788819876,95,33,0.3473684210526316,88400
Timóteo,3109253,Bugre,164,141,0.8597560975609756,46,5,0.10869565217391304,38700
Paracatu,3109303,Buritis,316,287,0.9082278481012658,116,18,0.15517241379310345,80600
Montes Claros,3109402,Buritizeiro,1616,1514,0.9368811881188119,116,56,0.4827586206896552,428000
Paracatu,3109451,Cabeceira Grande,105,91,0.8666666666666667,17,1,0.058823529411764705,20900
Poços de Caldas,3109501,Cabo Verde,157,119,0.7579617834394905,120,52,0.43333333333333335,34900
Metropolitana,3109600,Cachoeira da Prata,11,11,1,8,2,0.25,2600
Poços de Caldas,3109709,Cachoeira de Minas,46,40,0.8695652173913043,78,42,0.5384615384615384,15150
Ituiutaba,3109808,Cachoeira Dourada,4,4,1,1,0,0,1000
Curvelo,3109907,Caetanópolis,177,167,0.943502824858757,68,29,0.4264705882352941,46800
Metropolitana,3110004,Caeté,560,509,0.9089285714285714,319,75,0.23510971786833856,140550
Muriaé,3110103,Caiana,101,61,0.6039603960396039,81,6,0.07407407407407407,16900
Muriaé,3110202,Cajuri,38,31,0.8157894736842105,2,1,0.5,8400
