"","Diretoria.Regional","Código.IBGE","municipio","n_alunos","n_alunos_recebeu","perc_alunos_recebeu","n_alunos_pobres","n_alunos_recebeu_pobres","perc_alunos_recebeu_pobres"
"284","Diamantina",3125408,"FELICIO DOS SANTOS",244,240,0.983606557377049,89,13,0.146067415730337
"285","Almenara",3125606,"FELISBURGO",423,390,0.921985815602837,24,8,0.333333333333333
"286","Curvelo",3125705,"FELIXLANDIA",205,178,0.868292682926829,170,58,0.341176470588235
"287","Governador Valadares",3125804,"FERNANDES TOURINHO",77,76,0.987012987012987,22,4,0.181818181818182
"288","Timóteo",3125903,"FERROS",459,399,0.869281045751634,104,20,0.192307692307692
"289","Muriaé",3125952,"FERVEDOURO",655,538,0.821374045801527,145,27,0.186206896551724
"290","Metropolitana",3126000,"FLORESTAL",53,42,0.792452830188679,41,10,0.24390243902439
"291","Divinópolis",3126109,"FORMIGA",383,367,0.95822454308094,184,23,0.125
"292","Paracatu",3126208,"FORMOSO",505,452,0.895049504950495,38,17,0.447368421052632
"293","Passos",3126307,"FORTALEZA DE MINAS",28,23,0.821428571428571,22,7,0.318181818181818
"294","Metropolitana",3126406,"FORTUNA DE MINAS",8,7,0.875,0,0,0
"295","Araçuaí",3126505,"FRANCISCO BADARO",469,463,0.987206823027719,48,21,0.4375
"296","Montes Claros",3126604,"FRANCISCO DUMONT",234,222,0.948717948717949,39,17,0.435897435897436
"297","Montes Claros",3126703,"FRANCISCO SA",1309,1191,0.909854851031322,137,84,0.613138686131387
"298","Teófilo Otoni",3126752,"FRANCISCOPOLIS",415,374,0.901204819277108,31,4,0.129032258064516
"299","Teófilo Otoni",3126802,"FREI GASPAR",265,253,0.954716981132075,36,12,0.333333333333333
"300","Governador Valadares",3126901,"FREI INOCENCIO",656,601,0.916158536585366,15,7,0.466666666666667
"301","Diamantina",3126950,"FREI LAGONEGRO",267,265,0.99250936329588,17,12,0.705882352941177
"302","Uberaba",3127008,"FRONTEIRA",270,250,0.925925925925926,55,22,0.4
"303","Teófilo Otoni",3127057,"FRONTEIRA DOS VALES",317,308,0.971608832807571,6,2,0.333333333333333
"304","Salinas",3127073,"FRUTA DE LEITE",356,346,0.971910112359551,90,26,0.288888888888889
"305","Uberaba",3127107,"FRUTAL",436,400,0.917431192660551,421,152,0.36104513064133
"306","Metropolitana",3127206,"FUNILANDIA",193,185,0.958549222797927,36,6,0.166666666666667
"307","Governador Valadares",3127305,"GALILEIA",222,205,0.923423423423423,35,9,0.257142857142857
"308","Montes Claros",3127339,"GAMELEIRAS",314,293,0.93312101910828,21,15,0.714285714285714
"309","Montes Claros",3127354,"GLAUCILANDIA",113,112,0.991150442477876,31,16,0.516129032258065
"310","Governador Valadares",3127370,"GOIABEIRA",71,61,0.859154929577465,19,0,0
"311","Juiz de Fora",3127388,"GOIANA",83,74,0.891566265060241,25,6,0.24
"312","Poços de Caldas",3127404,"GONCALVES",8,4,0.5,13,1,0.0769230769230769
"313","Governador Valadares",3127503,"GONZAGA",155,133,0.858064516129032,70,5,0.0714285714285714
"314","Diamantina",3127602,"GOUVEIA",220,197,0.895454545454546,118,28,0.23728813559322
"315","Governador Valadares",3127701,"GOVERNADOR VALADARES",3144,2880,0.916030534351145,2183,533,0.244159413650939
"316","Montes Claros",3127800,"GRAO MOGOL",588,566,0.962585034013605,114,56,0.491228070175439
"317","Uberlândia",3127909,"GRUPIARA",23,14,0.608695652173913,11,1,0.0909090909090909
"318","Governador Valadares",3128006,"GUANHAES",659,568,0.861911987860395,509,129,0.253438113948919
"319","Passos",3128105,"GUAPE",127,117,0.921259842519685,135,11,0.0814814814814815
"320","Muriaé",3128204,"GUARACIABA",561,455,0.811051693404635,36,14,0.388888888888889
"321","Montes Claros",3128253,"GUARACIAMA",338,322,0.952662721893491,11,10,0.909090909090909
"322","Poços de Caldas",3128303,"GUARANESIA",110,105,0.954545454545455,125,14,0.112
"323","Juiz de Fora",3128402,"GUARANI",153,118,0.77124183006536,51,6,0.117647058823529
"324","Juiz de Fora",3128501,"GUARARA",36,31,0.861111111111111,3,0,0
"325","Paracatu",3128600,"GUARDA-MOR",69,63,0.91304347826087,94,14,0.148936170212766
"326","Poços de Caldas",3128709,"GUAXUPE",281,269,0.95729537366548,288,37,0.128472222222222
"327","Muriaé",3128808,"GUIDOVAL",280,231,0.825,18,2,0.111111111111111
"328","Patos de Minas",3128907,"GUIMARANIA",283,279,0.985865724381625,38,16,0.421052631578947
"329","Muriaé",3129004,"GUIRICEMA",280,216,0.771428571428571,38,4,0.105263157894737
"330","Ituiutaba",3129103,"GURINHATA",76,52,0.684210526315789,20,7,0.35
"331","Varginha",3129202,"HELIODORA",80,61,0.7625,65,2,0.0307692307692308
"332","Timóteo",3129301,"IAPU",367,356,0.970027247956403,116,16,0.137931034482759
"333","São João Del Rei",3129400,"IBERTIOGA",149,136,0.912751677852349,49,1,0.0204081632653061
"334","Uberaba",3129509,"IBIA",239,222,0.928870292887029,227,24,0.105726872246696
"335","Montes Claros",3129608,"IBIAI",537,507,0.94413407821229,17,14,0.823529411764706
"336","Montes Claros",3129657,"IBIRACATU",413,382,0.924939467312349,51,17,0.333333333333333
"337","Passos",3129707,"IBIRACI",203,179,0.881773399014778,97,29,0.298969072164948
"338","Metropolitana",3129806,"IBIRITE",2711,2632,0.970859461453338,1114,326,0.292639138240575
"339","Poços de Caldas",3129905,"IBITIURA DE MINAS",34,32,0.941176470588235,26,1,0.0384615384615385
"340","São João Del Rei",3130002,"IBITURUNA",97,94,0.969072164948454,28,3,0.107142857142857
"341","Montes Claros",3130051,"ICARAI DE MINAS",856,755,0.882009345794392,68,30,0.441176470588235
"342","Metropolitana",3130101,"IGARAPE",1011,899,0.889218595450049,350,90,0.257142857142857
"343","Divinópolis",3130200,"IGARATINGA",13,10,0.769230769230769,43,4,0.0930232558139535
"344","Divinópolis",3130309,"IGUATAMA",136,119,0.875,32,7,0.21875
"345","São João Del Rei",3130408,"IJACI",159,152,0.955974842767296,22,3,0.136363636363636
"346","Passos",3130507,"ILICINEA",121,113,0.933884297520661,93,8,0.0860215053763441
"347","Timóteo",3130556,"IMBE DE MINAS",286,263,0.91958041958042,19,0,0
"348","Poços de Caldas",3130606,"INCONFIDENTES",31,31,1,69,3,0.0434782608695652
"349","Salinas",3130655,"INDAIABIRA",479,468,0.977035490605428,37,14,0.378378378378378
"350","Uberlândia",3130705,"INDIANOPOLIS",30,27,0.9,7,1,0.142857142857143
"351","São João Del Rei",3130804,"INGAI",12,12,1,23,8,0.347826086956522
"352","Governador Valadares",3130903,"INHAPIM",1053,899,0.85375118708452,189,35,0.185185185185185
"353","Metropolitana",3131000,"INHAUMA",278,235,0.845323741007194,14,9,0.642857142857143
"354","Curvelo",3131109,"INIMUTABA",245,222,0.906122448979592,62,11,0.17741935483871
"355","Timóteo",3131158,"IPABA",456,414,0.907894736842105,135,37,0.274074074074074
"356","Governador Valadares",3131208,"IPANEMA",612,533,0.870915032679739,96,21,0.21875
"357","Timóteo",3131307,"IPATINGA",3409,3351,0.982986212965679,826,186,0.225181598062954
"358","Ituiutaba",3131406,"IPIACU",55,55,1,5,0,0
"359","Poços de Caldas",3131505,"IPUIUNA",84,62,0.738095238095238,89,2,0.0224719101123595
"360","Uberlândia",3131604,"IRAI DE MINAS",240,225,0.9375,17,3,0.176470588235294
"361","Timóteo",3131703,"ITABIRA",924,813,0.87987012987013,519,84,0.161849710982659
"362","Governador Valadares",3131802,"ITABIRINHA",310,222,0.716129032258065,83,5,0.0602409638554217
"363","Metropolitana",3131901,"ITABIRITO",268,222,0.828358208955224,168,25,0.148809523809524
"364","Montes Claros",3132008,"ITACAMBIRA",304,297,0.976973684210526,16,2,0.125
"365","Montes Claros",3132107,"ITACARAMBI",580,451,0.777586206896552,122,41,0.336065573770492
"366","Metropolitana",3132206,"ITAGUARA",155,147,0.948387096774194,69,6,0.0869565217391304
"367","Teófilo Otoni",3132305,"ITAIPE",828,681,0.822463768115942,46,4,0.0869565217391304
"368","Poços de Caldas",3132404,"ITAJUBA",588,507,0.862244897959184,328,51,0.155487804878049
"369","Diamantina",3132503,"ITAMARANDIBA",1228,1209,0.984527687296417,433,171,0.394919168591224
"370","Muriaé",3132602,"ITAMARATI DE MINAS",12,8,0.666666666666667,9,0,0
"371","Teófilo Otoni",3132701,"ITAMBACURI",1169,982,0.840034217279726,179,35,0.195530726256983
"372","Timóteo",3132800,"ITAMBE DO MATO DENTRO",75,75,1,26,2,0.0769230769230769
"373","Passos",3132909,"ITAMOGI",79,66,0.835443037974684,99,35,0.353535353535354
"374","Varginha",3133006,"ITAMONTE",62,45,0.725806451612903,105,2,0.019047619047619
"375","Varginha",3133105,"ITANHANDU",80,77,0.9625,61,5,0.0819672131147541
"376","Governador Valadares",3133204,"ITANHOMI",197,168,0.852791878172589,94,6,0.0638297872340425
"377","Araçuaí",3133303,"ITAOBIM",916,825,0.900655021834061,109,42,0.385321100917431
"378","Uberaba",3133402,"ITAPAGIPE",232,215,0.926724137931034,25,7,0.28
"379","Divinópolis",3133501,"ITAPECERICA",286,254,0.888111888111888,122,20,0.163934426229508
"380","Poços de Caldas",3133600,"ITAPEVA",40,27,0.675,20,2,0.1
"381","Metropolitana",3133709,"ITATIAIUCU",155,135,0.870967741935484,49,2,0.0408163265306122
"382","Passos",3133758,"ITAU DE MINAS",18,17,0.944444444444444,42,17,0.404761904761905
"383","Divinópolis",3133808,"ITAUNA",672,609,0.90625,352,70,0.198863636363636
"384","São João Del Rei",3133907,"ITAVERAVA",343,343,1,46,5,0.108695652173913
"385","Araçuaí",3134004,"ITINGA",1037,961,0.926711668273867,93,40,0.43010752688172
"386","Governador Valadares",3134103,"ITUETA",193,169,0.875647668393782,20,1,0.05
"387","Ituiutaba",3134202,"ITUIUTABA",317,295,0.930599369085173,648,92,0.141975308641975
"388","São João Del Rei",3134301,"ITUMIRIM",134,127,0.947761194029851,96,21,0.21875
"389","Ituiutaba",3134400,"ITURAMA",722,605,0.837950138504155,86,12,0.13953488372093
"390","São João Del Rei",3134509,"ITUTINGA",37,33,0.891891891891892,42,16,0.380952380952381
"391","Metropolitana",3134608,"JABOTICATUBAS",312,247,0.791666666666667,174,19,0.109195402298851
"392","Almenara",3134707,"JACINTO",560,527,0.941071428571429,66,14,0.212121212121212
"393","Passos",3134806,"JACUI",36,33,0.916666666666667,26,8,0.307692307692308
"394","Poços de Caldas",3134905,"JACUTINGA",28,16,0.571428571428571,70,2,0.0285714285714286
"395","Timóteo",3135001,"JAGUARACU",19,19,1,10,1,0.1
"396","Montes Claros",3135050,"JAIBA",3934,3521,0.895017793594306,245,104,0.424489795918367
"397","Governador Valadares",3135076,"JAMPRUCA",276,249,0.902173913043478,15,2,0.133333333333333
"398","Montes Claros",3135100,"JANAUBA",2521,2424,0.96152320507735,614,212,0.345276872964169
"399","Montes Claros",3135209,"JANUARIA",4882,4382,0.897582957804179,446,196,0.439461883408072
"400","Divinópolis",3135308,"JAPARAIBA",50,46,0.92,13,5,0.384615384615385
"401","Montes Claros",3135357,"JAPONVAR",381,351,0.921259842519685,55,17,0.309090909090909
"402","São João Del Rei",3135407,"JECEABA",33,19,0.575757575757576,19,0,0
"403","Araçuaí",3135456,"JENIPAPO DE MINAS",420,417,0.992857142857143,124,27,0.217741935483871
"404","Timóteo",3135506,"JEQUERI",408,357,0.875,215,30,0.13953488372093
"405","Montes Claros",3135605,"JEQUITAI",630,579,0.919047619047619,9,0,0
"406","Curvelo",3135704,"JEQUITIBA",126,121,0.96031746031746,64,11,0.171875
"407","Almenara",3135803,"JEQUITINHONHA",1264,1149,0.909018987341772,273,57,0.208791208791209
"408","Varginha",3135902,"JESUANIA",132,124,0.939393939393939,84,12,0.142857142857143
"409","Almenara",3136009,"JOAIMA",918,775,0.844226579520697,50,14,0.28
"410","Timóteo",3136108,"JOANESIA",178,176,0.98876404494382,33,4,0.121212121212121
"411","Timóteo",3136207,"JOAO MONLEVADE",863,809,0.937427578215527,234,59,0.252136752136752
"412","Paracatu",3136306,"JOAO PINHEIRO",1890,1668,0.882539682539683,408,106,0.259803921568627
"413","Curvelo",3136405,"JOAQUIM FELICIO",36,32,0.888888888888889,24,1,0.0416666666666667
"414","Almenara",3136504,"JORDANIA",586,501,0.854948805460751,60,30,0.5
"415","Araçuaí",3136520,"JOSE GONCALVES DE MINAS",231,174,0.753246753246753,75,6,0.08
"416","Governador Valadares",3136553,"JOSE RAYDAN",278,277,0.996402877697842,27,9,0.333333333333333
"417","Salinas",3136579,"JOSENOPOLIS",286,282,0.986013986013986,28,23,0.821428571428571
"418","Metropolitana",3136652,"JUATUBA",315,274,0.86984126984127,98,26,0.26530612244898
"419","Juiz de Fora",3136702,"JUIZ DE FORA",3660,3535,0.965846994535519,1489,382,0.256548018804567
"420","Montes Claros",3136801,"JURAMENTO",213,201,0.943661971830986,27,12,0.444444444444444
"421","Poços de Caldas",3136900,"JURUAIA",56,24,0.428571428571429,67,3,0.0447761194029851
"422","Montes Claros",3136959,"JUVENILIA",396,352,0.888888888888889,41,19,0.463414634146341
"423","Teófilo Otoni",3137007,"LADAINHA",981,768,0.782874617737003,168,49,0.291666666666667
"424","Patos de Minas",3137106,"LAGAMAR",320,315,0.984375,24,8,0.333333333333333
"425","Divinópolis",3137205,"LAGOA DA PRATA",728,676,0.928571428571429,366,85,0.23224043715847
"426","Montes Claros",3137304,"LAGOA DOS PATOS",224,224,1,26,12,0.461538461538462
"427","São João Del Rei",3137403,"LAGOA DOURADA",30,29,0.966666666666667,84,2,0.0238095238095238
"428","Patos de Minas",3137502,"LAGOA FORMOSA",179,170,0.949720670391061,119,17,0.142857142857143
"429","Patos de Minas",3137536,"LAGOA GRANDE",298,296,0.993288590604027,48,17,0.354166666666667
"430","Metropolitana",3137601,"LAGOA SANTA",282,273,0.968085106382979,166,24,0.144578313253012
"431","Governador Valadares",3137700,"LAJINHA",1034,839,0.811411992263056,89,16,0.179775280898876
"432","Varginha",3137809,"LAMBARI",420,395,0.94047619047619,127,20,0.15748031496063
"433","São João Del Rei",3137908,"LAMIM",177,165,0.932203389830508,33,5,0.151515151515152
"434","Muriaé",3138005,"LARANJAL",75,65,0.866666666666667,13,2,0.153846153846154
"435","Curvelo",3138104,"LASSANCE",394,352,0.893401015228426,31,8,0.258064516129032
"436","Varginha",3138203,"LAVRAS",765,738,0.964705882352941,402,74,0.18407960199005
"437","Divinópolis",3138302,"LEANDRO FERREIRA",50,36,0.72,34,3,0.0882352941176471
"438","Araçuaí",3138351,"LEME DO PRADO",185,183,0.989189189189189,50,10,0.2
"439","Muriaé",3138401,"LEOPOLDINA",371,339,0.913746630727763,350,47,0.134285714285714
"440","Juiz de Fora",3138500,"LIBERDADE",97,81,0.835051546391753,59,3,0.0508474576271186
"441","Juiz de Fora",3138609,"LIMA DUARTE",223,180,0.807174887892377,151,20,0.132450331125828
"442","Ituiutaba",3138625,"LIMEIRA DO OESTE",101,84,0.831683168316832,13,4,0.307692307692308
"443","Montes Claros",3138658,"LONTRA",501,483,0.964071856287425,30,11,0.366666666666667
"444","Muriaé",3138674,"LUISBURGO",254,205,0.807086614173228,40,3,0.075
"445","Montes Claros",3138682,"LUISLANDIA",601,597,0.993344425956739,50,21,0.42
"446","Varginha",3138708,"LUMINARIAS",68,63,0.926470588235294,36,4,0.111111111111111
"447","Divinópolis",3138807,"LUZ",181,161,0.889502762430939,63,3,0.0476190476190476
"448","Teófilo Otoni",3138906,"MACHACALIS",449,430,0.957683741648107,23,15,0.652173913043478
"449","Varginha",3139003,"MACHADO",316,291,0.920886075949367,453,67,0.147902869757174
"450","São João Del Rei",3139102,"MADRE DE DEUS DE MINAS",50,46,0.92,38,3,0.0789473684210526
"451","Teófilo Otoni",3139201,"MALACACHETA",922,813,0.88177874186551,331,102,0.308157099697885
"452","Montes Claros",3139250,"MAMONAS",301,289,0.960132890365448,44,14,0.318181818181818
"453","Montes Claros",3139300,"MANGA",1250,1132,0.9056,158,51,0.322784810126582
"454","Muriaé",3139409,"MANHUACU",1012,801,0.791501976284585,630,66,0.104761904761905
"455","Muriaé",3139508,"MANHUMIRIM",409,279,0.682151589242054,86,7,0.0813953488372093
"456","Governador Valadares",3139607,"MANTENA",219,189,0.863013698630137,183,18,0.0983606557377049
"457","Juiz de Fora",3139805,"MAR DE ESPANHA",167,143,0.856287425149701,87,15,0.172413793103448
"458","Divinópolis",3139706,"MARAVILHAS",169,150,0.887573964497041,1,0,0
"459","Varginha",3139904,"MARIA DA FE",121,110,0.909090909090909,108,17,0.157407407407407
"460","Metropolitana",3140001,"MARIANA",1177,1031,0.875955819881054,171,48,0.280701754385965
"461","Governador Valadares",3140100,"MARILAC",270,254,0.940740740740741,20,10,0.5
"462","Metropolitana",3140159,"MARIO CAMPOS",296,290,0.97972972972973,114,15,0.131578947368421
"463","Juiz de Fora",3140209,"MARIPA DE MINAS",3,3,1,14,0,0
"464","Timóteo",3140308,"MARLIERIA",126,114,0.904761904761905,22,6,0.272727272727273
"465","Poços de Caldas",3140407,"MARMELOPOLIS",89,84,0.943820224719101,38,12,0.315789473684211
"466","Divinópolis",3140506,"MARTINHO CAMPOS",230,224,0.973913043478261,77,20,0.25974025974026
"467","Muriaé",3140530,"MARTINS SOARES",276,221,0.800724637681159,97,23,0.237113402061856
"468","Almenara",3140555,"MATA VERDE",538,514,0.955390334572491,24,4,0.166666666666667
"469","Diamantina",3140605,"MATERLANDIA",231,228,0.987012987012987,19,12,0.631578947368421
"470","Metropolitana",3140704,"MATEUS LEME",553,483,0.873417721518987,254,82,0.322834645669291
"471","Governador Valadares",3171501,"MATHIAS LOBATO",249,225,0.903614457831325,23,11,0.478260869565217
"472","Juiz de Fora",3140803,"MATIAS BARBOSA",141,128,0.907801418439716,59,2,0.0338983050847458
"473","Montes Claros",3140852,"MATIAS CARDOSO",426,296,0.694835680751174,129,21,0.162790697674419
"474","Muriaé",3140902,"MATIPO",1217,959,0.788003286770748,183,72,0.39344262295082
"475","Montes Claros",3141009,"MATO VERDE",821,749,0.912302070645554,39,15,0.384615384615385
"476","Metropolitana",3141108,"MATOZINHOS",755,747,0.989403973509934,173,88,0.508670520231214
"477","Patos de Minas",3141207,"MATUTINA",18,15,0.833333333333333,36,2,0.0555555555555556
"478","Divinópolis",3141306,"MEDEIROS",16,13,0.8125,5,0,0
"479","Araçuaí",3141405,"MEDINA",909,795,0.874587458745875,268,106,0.395522388059701
"480","Governador Valadares",3141504,"MENDES PIMENTEL",227,200,0.881057268722467,29,5,0.172413793103448
"481","Juiz de Fora",3141603,"MERCES",234,204,0.871794871794872,92,18,0.195652173913043
"482","Timóteo",3141702,"MESQUITA",166,161,0.969879518072289,19,3,0.157894736842105
"483","Araçuaí",3141801,"MINAS NOVAS",1605,1573,0.98006230529595,242,67,0.276859504132231
"484","São João Del Rei",3141900,"MINDURI",78,71,0.91025641025641,21,0,0
"485","Montes Claros",3142007,"MIRABELA",717,669,0.933054393305439,61,23,0.377049180327869
"486","Muriaé",3142106,"MIRADOURO",158,78,0.493670886075949,29,3,0.103448275862069
"487","Muriaé",3142205,"MIRAI",147,132,0.897959183673469,106,10,0.0943396226415094
"488","Montes Claros",3142254,"MIRAVANIA",298,270,0.906040268456376,15,3,0.2
"489","Metropolitana",3142304,"MOEDA",157,157,1,18,1,0.0555555555555556
"490","Divinópolis",3142403,"MOEMA",143,121,0.846153846153846,103,16,0.155339805825243
"491","Curvelo",3142502,"MONJOLOS",56,53,0.946428571428571,28,7,0.25
"492","Varginha",3142601,"MONSENHOR PAULO",169,142,0.840236686390533,65,17,0.261538461538462
"493","Montes Claros",3142700,"MONTALVANIA",1237,1171,0.946645109135004,78,36,0.461538461538462
"494","Uberlândia",3142809,"MONTE ALEGRE DE MINAS",293,270,0.921501706484642,62,10,0.161290322580645
"495","Montes Claros",3142908,"MONTE AZUL",1142,1068,0.935201401050788,126,37,0.293650793650794
"496","Poços de Caldas",3143005,"MONTE BELO",146,124,0.849315068493151,107,9,0.0841121495327103
"497","Uberlândia",3143104,"MONTE CARMELO",149,136,0.912751677852349,441,60,0.136054421768707
"498","Almenara",3143153,"MONTE FORMOSO",344,337,0.979651162790698,56,11,0.196428571428571
"499","Passos",3143203,"MONTE SANTO DE MINAS",251,245,0.97609561752988,152,32,0.210526315789474
"500","Poços de Caldas",3143401,"MONTE SIAO",73,67,0.917808219178082,69,8,0.115942028985507
"501","Montes Claros",3143302,"MONTES CLAROS",3759,3483,0.92657621707901,4176,1266,0.30316091954023
"502","Salinas",3143450,"MONTEZUMA",336,294,0.875,76,18,0.236842105263158
"503","Divinópolis",3143500,"MORADA NOVA DE MINAS",10,9,0.9,10,0,0
"504","Curvelo",3143609,"MORRO DA GARCA",16,14,0.875,12,3,0.25
"505","Metropolitana",3143708,"MORRO DO PILAR",265,257,0.969811320754717,20,4,0.2
"506","Poços de Caldas",3143807,"MUNHOZ",33,19,0.575757575757576,76,10,0.131578947368421
"507","Muriaé",3143906,"MURIAE",661,611,0.924357034795764,568,74,0.130281690140845
"508","Governador Valadares",3144003,"MUTUM",699,447,0.639484978540773,368,48,0.130434782608696
"509","Poços de Caldas",3144102,"MUZAMBINHO",253,225,0.889328063241107,124,7,0.0564516129032258
"510","Governador Valadares",3144201,"NACIP RAYDAN",113,109,0.964601769911504,32,2,0.0625
"511","Teófilo Otoni",3144300,"NANUQUE",915,863,0.943169398907104,332,88,0.265060240963855
"512","Timóteo",3144359,"NAQUE",362,335,0.925414364640884,31,12,0.387096774193548
"513","Paracatu",3144375,"NATALANDIA",133,118,0.887218045112782,21,4,0.19047619047619
"514","Varginha",3144409,"NATERCIA",28,28,1,45,29,0.644444444444444
"515","São João Del Rei",3144508,"NAZARENO",298,281,0.942953020134228,62,18,0.290322580645161
"516","Varginha",3144607,"NEPOMUCENO",294,268,0.91156462585034,335,31,0.0925373134328358
"517","Salinas",3144656,"NINHEIRA",600,560,0.933333333333333,40,8,0.2
"518","Governador Valadares",3144672,"NOVA BELEM",167,138,0.826347305389222,6,1,0.166666666666667
"519","Timóteo",3144706,"NOVA ERA",273,254,0.93040293040293,133,36,0.270676691729323
"520","Metropolitana",3144805,"NOVA LIMA",544,478,0.878676470588235,270,45,0.166666666666667
"521","Governador Valadares",3144904,"NOVA MODICA",170,131,0.770588235294118,26,9,0.346153846153846
"522","Uberlândia",3145000,"NOVA PONTE",66,61,0.924242424242424,27,1,0.037037037037037
"523","Montes Claros",3145059,"NOVA PORTEIRINHA",371,348,0.93800539083558,31,17,0.548387096774194
"524","Passos",3145109,"NOVA RESENDE",193,159,0.823834196891192,83,16,0.192771084337349
"525","Divinópolis",3145208,"NOVA SERRANA",88,68,0.772727272727273,139,15,0.107913669064748
"526","Metropolitana",3136603,"NOVA UNIAO",194,179,0.922680412371134,71,14,0.197183098591549
"527","Teófilo Otoni",3145307,"NOVO CRUZEIRO",2459,2231,0.907279381862546,308,102,0.331168831168831
"528","Teófilo Otoni",3145356,"NOVO ORIENTE DE MINAS",667,605,0.907046476761619,62,11,0.17741935483871
"529","Salinas",3145372,"NOVORIZONTE",250,220,0.88,42,19,0.452380952380952
"530","Juiz de Fora",3145406,"OLARIA",15,8,0.533333333333333,2,0,0
"531","Montes Claros",3145455,"OLHOS D'AGUA",569,533,0.936731107205624,18,11,0.611111111111111
"532","Varginha",3145505,"OLIMPIO NORONHA",30,28,0.933333333333333,9,1,0.111111111111111
"533","Divinópolis",3145604,"OLIVEIRA",369,336,0.910569105691057,252,19,0.0753968253968254
"534","Juiz de Fora",3145703,"OLIVEIRA FORTES",19,14,0.736842105263158,7,2,0.285714285714286
"535","Divinópolis",3145802,"ONCA DO PITANGUI",61,52,0.852459016393443,41,4,0.0975609756097561
"536","Muriaé",3145851,"ORATORIOS",39,30,0.769230769230769,14,2,0.142857142857143
"537","Muriaé",3145877,"ORIZANIA",96,82,0.854166666666667,6,0,0
"538","São João Del Rei",3145901,"OURO BRANCO",196,168,0.857142857142857,73,15,0.205479452054795
"539","Poços de Caldas",3146008,"OURO FINO",81,74,0.91358024691358,158,32,0.20253164556962
"540","Metropolitana",3146107,"OURO PRETO",944,890,0.942796610169492,407,73,0.179361179361179
"541","Teófilo Otoni",3146206,"OURO VERDE DE MINAS",617,557,0.902755267423015,36,17,0.472222222222222
"542","Salinas",3146255,"PADRE CARVALHO",496,489,0.985887096774194,39,17,0.435897435897436
"543","Teófilo Otoni",3146305,"PADRE PARAISO",1089,986,0.905417814508724,50,24,0.48
"544","Montes Claros",3146552,"PAI PEDRO",198,196,0.98989898989899,48,18,0.375
"545","Divinópolis",3146404,"PAINEIRAS",69,68,0.985507246376812,29,1,0.0344827586206897
"546","Divinópolis",3146503,"PAINS",66,55,0.833333333333333,12,1,0.0833333333333333
"547","Juiz de Fora",3146602,"PAIVA",15,15,1,1,1,1
"548","Muriaé",3146701,"PALMA",253,228,0.901185770750988,8,3,0.375
"549","Almenara",3146750,"PALMOPOLIS",418,398,0.952153110047847,30,8,0.266666666666667
"550","Divinópolis",3146909,"PAPAGAIOS",246,219,0.890243902439024,268,30,0.111940298507463
"551","Metropolitana",3147105,"PARA DE MINAS",491,467,0.95112016293279,425,75,0.176470588235294
"552","Paracatu",3147006,"PARACATU",586,503,0.858361774744027,490,71,0.144897959183673
"553","Varginha",3147204,"PARAGUACU",172,155,0.901162790697674,168,9,0.0535714285714286
"554","Poços de Caldas",3147303,"PARAISOPOLIS",160,119,0.74375,119,11,0.092436974789916
"555","Curvelo",3147402,"PARAOPEBA",450,421,0.935555555555556,123,21,0.170731707317073
"556","Varginha",3147600,"PASSA QUATRO",132,117,0.886363636363636,116,12,0.103448275862069
"557","Divinópolis",3147709,"PASSA TEMPO",46,36,0.782608695652174,18,2,0.111111111111111
"558","Juiz de Fora",3147808,"PASSA VINTE",4,2,0.5,3,0,0
"559","Timóteo",3147501,"PASSABEM",72,69,0.958333333333333,18,6,0.333333333333333
"560","Passos",3147907,"PASSOS",1022,959,0.938356164383562,895,301,0.336312849162011
"561","Montes Claros",3147956,"PATIS",316,276,0.873417721518987,20,11,0.55
"562","Patos de Minas",3148004,"PATOS DE MINAS",471,426,0.904458598726115,451,65,0.144124168514412
"563","Patos de Minas",3148103,"PATROCINIO",950,885,0.931578947368421,902,228,0.252771618625277
"564","Muriaé",3148202,"PATROCINIO DO MURIAE",149,140,0.939597315436242,22,4,0.181818181818182
"565","Muriaé",3148301,"PAULA CANDIDO",292,291,0.996575342465753,140,25,0.178571428571429
"566","Governador Valadares",3148400,"PAULISTAS",234,183,0.782051282051282,46,9,0.195652173913043
"567","Teófilo Otoni",3148509,"PAVAO",691,630,0.911722141823444,17,12,0.705882352941177
"568","Governador Valadares",3148608,"PECANHA",847,749,0.884297520661157,131,50,0.381679389312977
"569","Almenara",3148707,"PEDRA AZUL",1253,1155,0.921787709497207,108,19,0.175925925925926
"570","Muriaé",3148756,"PEDRA BONITA",384,253,0.658854166666667,29,16,0.551724137931034
"571","Muriaé",3148806,"PEDRA DO ANTA",143,143,1,10,1,0.1
"572","Divinópolis",3148905,"PEDRA DO INDAIA",27,19,0.703703703703704,14,0,0
"573","Muriaé",3149002,"PEDRA DOURADA",30,27,0.9,12,1,0.0833333333333333
"574","Varginha",3149101,"PEDRALVA",204,161,0.78921568627451,113,6,0.0530973451327434
"575","Montes Claros",3149150,"PEDRAS DE MARIA DA CRUZ",667,637,0.955022488755622,69,13,0.188405797101449
"576","Uberaba",3149200,"PEDRINOPOLIS",108,83,0.768518518518518,5,2,0.4
"577","Metropolitana",3149309,"PEDRO LEOPOLDO",422,385,0.912322274881517,219,24,0.10958904109589
"578","Juiz de Fora",3149408,"PEDRO TEIXEIRA",25,14,0.56,3,0,0
