"","Diretoria.Regional","Código.IBGE","municipio","n_alunos","n_alunos_recebeu","perc_alunos_recebeu","n_alunos_pobres","n_alunos_recebeu_pobres","perc_alunos_recebeu_pobres"
"67","Timóteo",3106309,"BELO ORIENTE",548,531,0.968978102189781,64,20,0.3125
"68","Metropolitana",3106408,"BELO VALE",77,65,0.844155844155844,84,5,0.0595238095238095
"69","Araçuaí",3106507,"BERILO",647,626,0.967542503863988,124,50,0.403225806451613
"70","Salinas",3106655,"BERIZAL",440,429,0.975,24,14,0.583333333333333
"71","Teófilo Otoni",3106606,"BERTOPOLIS",497,487,0.979879275653924,13,8,0.615384615384615
"72","Metropolitana",3106705,"BETIM",6127,5927,0.967357597519177,1078,238,0.220779220779221
"73","Juiz de Fora",3106804,"BIAS FORTES",174,164,0.942528735632184,12,5,0.416666666666667
"74","Juiz de Fora",3106903,"BICAS",156,146,0.935897435897436,33,9,0.272727272727273
"75","Divinópolis",3107000,"BIQUINHAS",23,17,0.739130434782609,7,0,0
"76","Varginha",3107109,"BOA ESPERANCA",286,271,0.947552447552448,512,135,0.263671875
"77","Juiz de Fora",3107208,"BOCAINA DE MINAS",30,30,1,4,0,0
"78","Montes Claros",3107307,"BOCAIUVA",3624,3480,0.960264900662252,258,129,0.5
"79","Divinópolis",3107406,"BOM DESPACHO",530,481,0.907547169811321,335,63,0.188059701492537
"80","Juiz de Fora",3107505,"BOM JARDIM DE MINAS",99,93,0.939393939393939,34,5,0.147058823529412
"81","Passos",3107604,"BOM JESUS DA PENHA",102,101,0.990196078431373,2,0,0
"82","Metropolitana",3107703,"BOM JESUS DO AMPARO",150,112,0.746666666666667,54,23,0.425925925925926
"83","Timóteo",3107802,"BOM JESUS DO GALHO",1043,941,0.902205177372963,29,14,0.482758620689655
"84","Poços de Caldas",3107901,"BOM REPOUSO",108,94,0.87037037037037,173,6,0.0346820809248555
"85","São João Del Rei",3108008,"BOM SUCESSO",48,40,0.833333333333333,270,10,0.037037037037037
"86","Metropolitana",3108107,"BONFIM",229,228,0.995633187772926,17,0,0
"87","Paracatu",3108206,"BONFINOPOLIS DE MINAS",56,42,0.75,49,7,0.142857142857143
"88","Montes Claros",3108255,"BONITO DE MINAS",787,658,0.836086404066074,90,12,0.133333333333333
"89","Poços de Caldas",3108305,"BORDA DA MATA",106,96,0.905660377358491,81,26,0.320987654320988
"90","Poços de Caldas",3108404,"BOTELHOS",126,109,0.865079365079365,164,10,0.0609756097560976
"91","Montes Claros",3108503,"BOTUMIRIM",579,579,1,56,22,0.392857142857143
"92","São João Del Rei",3108701,"BRAS PIRES",218,216,0.990825688073395,11,5,0.454545454545455
"93","Paracatu",3108552,"BRASILANDIA DE MINAS",607,552,0.909390444810544,78,22,0.282051282051282
"94","Montes Claros",3108602,"BRASILIA DE MINAS",2100,1899,0.904285714285714,342,118,0.345029239766082
"95","Timóteo",3108800,"BRAUNAS",195,185,0.948717948717949,30,7,0.233333333333333
"96","Poços de Caldas",3108909,"BRAZOPOLIS",80,59,0.7375,122,11,0.0901639344262295
"97","Metropolitana",3109006,"BRUMADINHO",69,54,0.782608695652174,15,0,0
"98","Poços de Caldas",3109105,"BUENO BRANDAO",70,66,0.942857142857143,56,3,0.0535714285714286
"99","Curvelo",3109204,"BUENOPOLIS",321,302,0.940809968847352,95,29,0.305263157894737
"100","Timóteo",3109253,"BUGRE",164,141,0.859756097560976,46,5,0.108695652173913
"101","Paracatu",3109303,"BURITIS",316,287,0.908227848101266,116,15,0.129310344827586
"102","Montes Claros",3109402,"BURITIZEIRO",1611,1510,0.937306021104904,116,48,0.413793103448276
"103","Paracatu",3109451,"CABECEIRA GRANDE",105,91,0.866666666666667,17,1,0.0588235294117647
"104","Poços de Caldas",3109501,"CABO VERDE",157,117,0.745222929936306,120,11,0.0916666666666667
"105","Metropolitana",3109600,"CACHOEIRA DA PRATA",11,11,1,8,1,0.125
"106","Poços de Caldas",3109709,"CACHOEIRA DE MINAS",46,39,0.847826086956522,78,4,0.0512820512820513
"107","Salinas",3102704,"CACHOEIRA DE PAJEU",675,674,0.998518518518518,60,37,0.616666666666667
"108","Ituiutaba",3109808,"CACHOEIRA DOURADA",4,4,1,1,0,0
"109","Curvelo",3109907,"CAETANOPOLIS",176,166,0.943181818181818,68,27,0.397058823529412
"110","Metropolitana",3110004,"CAETE",559,508,0.908765652951699,319,69,0.216300940438871
"111","Muriaé",3110103,"CAIANA",101,53,0.524752475247525,81,3,0.037037037037037
"112","Muriaé",3110202,"CAJURI",38,31,0.815789473684211,2,1,0.5
"113","Poços de Caldas",3110301,"CALDAS",132,119,0.901515151515151,63,1,0.0158730158730159
"114","Divinópolis",3110400,"CAMACHO",22,12,0.545454545454545,31,0,0
"115","Poços de Caldas",3110509,"CAMANDUCAIA",188,110,0.585106382978723,77,7,0.0909090909090909
"116","Poços de Caldas",3110608,"CAMBUI",298,243,0.815436241610738,113,15,0.132743362831858
"117","Varginha",3110707,"CAMBUQUIRA",368,349,0.948369565217391,96,19,0.197916666666667
"118","Teófilo Otoni",3110806,"CAMPANARIO",161,154,0.956521739130435,17,5,0.294117647058824
"119","Varginha",3110905,"CAMPANHA",261,238,0.911877394636015,226,59,0.261061946902655
"120","Poços de Caldas",3111002,"CAMPESTRE",59,36,0.610169491525424,86,2,0.0232558139534884
"121","Ituiutaba",3111101,"CAMPINA VERDE",188,136,0.723404255319149,104,12,0.115384615384615
"122","Montes Claros",3111150,"CAMPO AZUL",276,253,0.916666666666667,25,14,0.56
"123","Divinópolis",3111200,"CAMPO BELO",674,636,0.943620178041543,333,38,0.114114114114114
"124","Varginha",3111309,"CAMPO DO MEIO",307,277,0.90228013029316,56,5,0.0892857142857143
"125","Uberaba",3111408,"CAMPO FLORIDO",251,223,0.888446215139442,25,8,0.32
"126","Patos de Minas",3111507,"CAMPOS ALTOS",142,131,0.922535211267606,67,12,0.17910447761194
"127","Varginha",3111606,"CAMPOS GERAIS",436,372,0.853211009174312,349,57,0.163323782234957
"128","Divinópolis",3111903,"CANA VERDE",94,86,0.914893617021277,63,9,0.142857142857143
"129","Muriaé",3111705,"CANAA",213,213,1,11,0,0
"130","Ituiutaba",3111804,"CANAPOLIS",122,113,0.926229508196721,50,4,0.08
"131","Divinópolis",3112000,"CANDEIAS",129,115,0.891472868217054,128,14,0.109375
"132","Governador Valadares",3112059,"CANTAGALO",174,173,0.994252873563218,37,8,0.216216216216216
"133","Muriaé",3112109,"CAPARAO",282,259,0.918439716312057,29,2,0.0689655172413793
"134","São João Del Rei",3112208,"CAPELA NOVA",159,139,0.874213836477987,31,5,0.161290322580645
"135","Diamantina",3112307,"CAPELINHA",1461,1304,0.892539356605065,621,199,0.320450885668277
"136","Passos",3112406,"CAPETINGA",116,113,0.974137931034483,63,11,0.174603174603175
"137","Metropolitana",3112505,"CAPIM BRANCO",101,99,0.98019801980198,59,16,0.271186440677966
